Designator,Mid X,Mid Y,Layer,Rotation
C1,156.08,-109.47,T,0.00
C2,160.02,-112.93,T,270.00
C3,160.66,-95.22,T,270.00
C4,142.45,-97.74,T,90.00
C5,137.12,-98.78,T,270.00
C6,144.02,-111.10,T,90.00
C7,147.70,-111.12,T,90.00
C8,149.73,-109.98,T,90.00
C9,139.32,-104.52,T,315.00
C10,151.51,-108.08,T,135.00
C11,150.75,-108.84,T,135.00
C12,144.15,-99.85,T,270.00
D1,152.15,-111.89,T,0.00
J1,134.41,-105.41,T,270.00
J2,148.85,-94.74,T,270.00
J3,137.79,-116.08,B,270.00
J5,160.78,-105.41,T,90.00
R1,153.42,-105.41,T,180.00
R2,153.42,-106.93,T,180.00
R3,147.83,-97.03,T,180.00
R4,151.76,-93.73,T,180.00
R5,146.81,-99.82,T,90.00
R6,145.80,-99.82,T,270.00
R7,154.31,-111.76,T,90.00
U1,157.73,-111.94,T,90.00
U2,145.11,-104.94,T,270.00
U3,155.45,-97.16,T,0.00
Y1,139.74,-98.46,T,180.00
